,FF,Runout_Full,Matchups
4815,37.133142325,4s 2s 2h 4c Ac,277.67460197
4828,38.781739837,4s 2s 2h 4c Ad,270.77143111
4840,35.060908543,4s 2s 2h 4c Ah,248.80550205
4851,67.687792432,4s 2s 2h 4c As,77.799395488
4863,53.335617523,4s 2s 2h 5c Ac,21.154126178
4876,51.228065093,4s 2s 2h 5c Ad,15.119420309
4888,49.443201439,4s 2s 2h 5c Ah,25.536875063
4899,72.808499213,4s 2s 2h 5c As,64.386133634
4911,37.36067887,4s 2s 2h 6c Ac,13.640044224
4924,37.517538021,4s 2s 2h 6c Ad,16.187292797
4936,36.955220941,4s 2s 2h 6c Ah,29.003554184
4947,55.664797898,4s 2s 2h 6c As,71.675275678
4959,39.743684664,4s 2s 2h 7c Ac,46.978505323
4972,39.808070417,4s 2s 2h 7c Ad,45.019908951
4984,38.658834157,4s 2s 2h 7c Ah,47.00551618
4995,61.907521332,4s 2s 2h 7c As,44.431835654
5007,39.618740224,4s 2s 2h 8c Ac,15.789751862
5020,39.293561764,4s 2s 2h 8c Ad,15.441522713
5032,41.198472634,4s 2s 2h 8c Ah,32.556518615
5043,54.47517639,4s 2s 2h 8c As,26.116036955
5055,32.185048097,4s 2s 2h 9c Ac,15.341015428
5068,32.111199895,4s 2s 2h 9c Ad,15.779482942
5080,34.035788503,4s 2s 2h 9c Ah,29.62988066
5091,48.266251032,4s 2s 2h 9c As,27.088988692
5103,29.558967379,4s 2s 2h Tc Ac,23.905161477
5116,29.257112854,4s 2s 2h Tc Ad,23.678622879
5128,28.471674359,4s 2s 2h Tc Ah,11.860208563
5139,32.546139334,4s 2s 2h Tc As,0.61575526887
5151,28.464568383,4s 2s 2h Jc Ac,15.621098184
5164,30.309905785,4s 2s 2h Jc Ad,14.648858746
5176,26.638551544,4s 2s 2h Jc Ah,7.9383019657
5187,28.951844328,4s 2s 2h Jc As,0.014993230811
5199,27.672603579,4s 2s 2h Qc Ac,35.0984605
5212,27.419447512,4s 2s 2h Qc Ad,30.749505358
5224,26.608462583,4s 2s 2h Qc Ah,0.356760545
5235,33.384935808,4s 2s 2h Qc As,0.0067313360922
5247,11.565375741,4s 2s 2h Kc Ac,0.53754968749
5260,27.640138935,4s 2s 2h Kc Ad,0.44667696063
5272,12.6087905,4s 2s 2h Kc Ah,0.47060811393
5283,8.7824426341,4s 2s 2h Kc As,0.29533693808
5344,31.988060439,4s 2s 2h 2d Ac,44.832706025
5356,31.984760188,4s 2s 2h 2d Ad,44.506131522
5368,30.998052403,4s 2s 2h 2d Ah,20.128361252
5379,40.494152892,4s 2s 2h 2d As,26.492322602
5392,46.748023788,4s 2s 2h 3d Ac,19.2119853
5404,47.072273512,4s 2s 2h 3d Ad,21.893231535
5416,51.089643463,4s 2s 2h 3d Ah,0.63191696436
5427,69.055668891,4s 2s 2h 3d As,88.544538268
5440,38.781739837,4s 2s 2h 4d Ac,270.77143103
5452,37.133142325,4s 2s 2h 4d Ad,277.67460197
5464,35.060908543,4s 2s 2h 4d Ah,248.80550195
5475,67.687792432,4s 2s 2h 4d As,77.799395648
5488,51.228065093,4s 2s 2h 5d Ac,15.119420309
5500,53.335617523,4s 2s 2h 5d Ad,21.154126178
5512,49.443201439,4s 2s 2h 5d Ah,25.536875063
